id,caption,qas
coco_301091,On a gray day a surfer carrying a white board walks on a beach.,"[{""question"": ""is this a surfer?"", ""answer"": ""yes""}, {""question"": ""who is on the beach?"", ""answer"": ""surfer""}, {""question"": ""is the person carrying a board?"", ""answer"": ""yes""}, {""question"": ""is this a beach?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""beach""}, {""question"": ""is the surfer carrying something?"", ""answer"": ""yes""}, {""question"": ""is the surfer walking on the beach?"", ""answer"": ""yes""}, {""question"": ""is the day gray?"", ""answer"": ""yes""}, {""question"": ""what color is the sky?"", ""answer"": ""gray""}, {""question"": ""is the board white?"", ""answer"": ""yes""}, {""question"": ""what color is the board?"", ""answer"": ""white""}]"
coco_421933,A person sitting on a horse in air over gate in grass with people and trees in background.,"[{""question"": ""is there a person on a horse?"", ""answer"": ""yes""}, {""question"": ""who is sitting on a horse?"", ""answer"": ""person""}, {""question"": ""is this a horse?"", ""answer"": ""yes""}, {""question"": ""what animal is in the picture?"", ""answer"": ""horse""}, {""question"": ""is there a gate?"", ""answer"": ""yes""}, {""question"": ""is there grass?"", ""answer"": ""yes""}, {""question"": ""are there people in the background?"", ""answer"": ""yes""}, {""question"": ""are there trees in the background?"", ""answer"": ""yes""}, {""question"": ""is the person sitting on the horse?"", ""answer"": ""yes""}, {""question"": ""is the horse over the gate?"", ""answer"": ""yes""}, {""question"": ""is the horse over or next to the gate?"", ""answer"": ""over""}, {""question"": ""is the horse in air?"", ""answer"": ""yes""}, {""question"": ""is the horse in air or on the ground?"", ""answer"": ""in air""}, {""question"": ""are there people and trees in the background?"", ""answer"": ""yes""}]"
coco_55404,"A small room with a futon couch, a sewing machine on a table, and a flatscreen TV.","[{""question"": ""is this a room?"", ""answer"": ""yes""}, {""question"": ""is there a futon couch?"", ""answer"": ""yes""}, {""question"": ""what type of furniture is this?"", ""answer"": ""futon couch""}, {""question"": ""is there a sewing machine on the table?"", ""answer"": ""yes""}, {""question"": ""what type of machine is on the table?"", ""answer"": ""sewing machine""}, {""question"": ""is there a table?"", ""answer"": ""yes""}, {""question"": ""is there a flatscreen TV?"", ""answer"": ""yes""}, {""question"": ""is the room small?"", ""answer"": ""yes""}]"
coco_738534,A pile of orange sitting in a blue bowl.,"[{""question"": ""is there a pile of orange in the bowl?"", ""answer"": ""yes""}, {""question"": ""is there an orange?"", ""answer"": ""yes""}, {""question"": ""what fruit is in the bowl?"", ""answer"": ""orange""}, {""question"": ""is there a bowl?"", ""answer"": ""yes""}, {""question"": ""is the pile sitting in the bowl?"", ""answer"": ""yes""}, {""question"": ""is the bowl blue?"", ""answer"": ""yes""}, {""question"": ""what color is the bowl?"", ""answer"": ""blue""}]"
coco_788027,A horse and several cows feed on hay.,"[{""question"": ""is there a horse?"", ""answer"": ""yes""}, {""question"": ""are there cows?"", ""answer"": ""yes""}, {""question"": ""is there hay?"", ""answer"": ""yes""}, {""question"": ""what is the horse and cows feeding on?"", ""answer"": ""hay""}, {""question"": ""are the horse and cows feeding on hay?"", ""answer"": ""yes""}, {""question"": ""are there several cows?"", ""answer"": ""yes""}]"
coco_573665,A harbor filled with boats under a full moon bathing them in moon light.,"[{""question"": ""is this a harbor?"", ""answer"": ""yes""}, {""question"": ""what type of place is this?"", ""answer"": ""harbor""}, {""question"": ""are there boats in the harbor?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is in the harbor?"", ""answer"": ""boats""}, {""question"": ""is there a moon?"", ""answer"": ""yes""}, {""question"": ""is the harbor filled with boats?"", ""answer"": ""yes""}, {""question"": ""are the boats bathing in moon light?"", ""answer"": ""yes""}, {""question"": ""are the boats under the moon?"", ""answer"": ""yes""}, {""question"": ""is the moon full?"", ""answer"": ""yes""}, {""question"": ""is the moon full or half?"", ""answer"": ""full""}, {""question"": ""are the boats bathing in moon light or sun light?"", ""answer"": ""moon light""}]"
coco_463168,a protest showing people to stop murder on the road,"[{""question"": ""are there people?"", ""answer"": ""yes""}, {""question"": ""is there murder on the road?"", ""answer"": ""yes""}, {""question"": ""are the people stopping murder on the road?"", ""answer"": ""yes""}, {""question"": ""is this a protest?"", ""answer"": ""yes""}, {""question"": ""what type of event is this?"", ""answer"": ""protest""}, {""question"": ""are the people showing something?"", ""answer"": ""yes""}]"
coco_263731,Small group of sheep being herded by three border collies.,"[{""question"": ""are there sheep?"", ""answer"": ""yes""}, {""question"": ""what animals are in the picture?"", ""answer"": ""sheep""}, {""question"": ""are there border collies?"", ""answer"": ""yes""}, {""question"": ""are the sheep being herded?"", ""answer"": ""yes""}, {""question"": ""is this a small group of sheep?"", ""answer"": ""yes""}, {""question"": ""is this a small group or a large group of sheep?"", ""answer"": ""small group""}]"
coco_42954,A cat standing on the hood of a car.,"[{""question"": ""is this a cat?"", ""answer"": ""yes""}, {""question"": ""is this a car?"", ""answer"": ""yes""}, {""question"": ""what type of vehicle is this?"", ""answer"": ""car""}, {""question"": ""is the cat standing on the car?"", ""answer"": ""yes""}, {""question"": ""is the cat on the car?"", ""answer"": ""yes""}]"
coco_539421,A photo of a young male in a suit jacket and tie.,"[{""question"": ""is this a young male?"", ""answer"": ""yes""}, {""question"": ""is the young male wearing a suit jacket?"", ""answer"": ""yes""}, {""question"": ""is the young male wearing a tie?"", ""answer"": ""yes""}, {""question"": ""is the young male wearing a tie or a bow tie?"", ""answer"": ""tie""}, {""question"": ""is this a photo?"", ""answer"": ""yes""}, {""question"": ""is this a photo, a painting, or a drawing?"", ""answer"": ""photo""}]"
